dataset,task,group,method,method_label,aee,outlier_percent,epochs_completed,best_epoch,best_val_aee,window_alignment,source
mvsec,optical_flow,Learning-based,ergo,ERGO,2.145561224899664,23.80291993533036,67,57,1.8119640290737151,timestamp,results_float64_cached_20260516/original_od12_if123_full6m_ergo_e100_block-random_earlystop.json
mvsec,optical_flow,Learning-based,est,EST,2.0428562698079578,23.357402371458356,75,65,1.7453340113162994,timestamp,results_float64_cached_20260516/original_od12_if123_full6m_est_e100_block-random_earlystop.json
mvsec,optical_flow,Learning-based,event_pretraining,Event Pre-training,2.5401478751244966,30.672413916326636,40,30,1.8606752753257751,timestamp,results_float64_cached_20260516/original_od12_if123_full6m_event_pretraining_e100_block-random_earlystop.json
mvsec,optical_flow,Learning-based,evrepsl,EvRepSL,2.381711952721895,27.898661683544493,91,81,1.771200954914093,timestamp,results_float64_cached_20260516/original_od12_if123_full6m_evrepsl_e100_block-random_earlystop.json
mvsec,optical_flow,Learning-based,get,GET,2.0451929695844377,23.299550406125118,43,33,1.844813245534897,timestamp,results_float64_cached_20260516/original_od12_if123_full6m_get_e100_block-random_earlystop.json
mvsec,optical_flow,Learning-based,matrix_lstm,Matrix-LSTM,2.18565403580255,25.195438309359606,95,85,1.7705821633338927,timestamp,results_float64_cached_20260516/original_od12_if123_full6m_matrixlstm_e100_block-random_earlystop.json
mvsec,optical_flow,Traditional,event_frame,Event Frame,2.20850480639565,25.812200498346247,48,38,1.8975054681301118,timestamp,results_float64_cached_20260516/original_od12_if123_full6m_event_frame_e100_block-random_earlystop.json
mvsec,optical_flow,Traditional,binary_event_image,Binary Event Image,2.1625269670574045,25.269286668548716,64,54,1.8693244636058808,timestamp,results_float64_cached_20260516/original_od12_if123_full6m_binary_event_image_e100_block-random_earlystop.json
mvsec,optical_flow,Traditional,timestamp_image,Timestamp Image,2.1122119027252997,24.829615560736517,34,24,2.1892493724823,timestamp,results_float64_cached_20260516/original_od12_if123_full6m_timestamp_image_e100_block-random_earlystop.json
mvsec,optical_flow,Traditional,time_surface,Time Surface,2.2628490639129817,26.566550307599385,46,36,1.9055821418762207,timestamp,results_float64_cached_20260516/original_od12_if123_full6m_time_surface_e100_block-random_earlystop.json
mvsec,optical_flow,Traditional,voxel_grid,Voxel Grid,2.0758931257694653,23.85002723496451,87,77,1.7799035966396333,timestamp,results_float64_cached_20260516/original_od12_if123_full6m_voxel_grid_e100_block-random_earlystop.json
