dataset,task,group,method,method_label,accuracy_pct,best_epoch,epochs_completed,early_stopped,batch_size,lr,weight_decay,seed,device,input_channels,test_samples,protocol,source,note
cifar10dvs,classification,Learning-based,matrix_lstm,Matrix-LSTM,70.75,73,100,True,32,0.0001,0.0001,42,NVIDIA L4,16,0,repository recorded split,results/classification/matrix_lstm/matrix_lstm_cifar10dvs.json,Repository learning-based classification result
cifar10dvs,classification,Learning-based,event_pretraining,Event Pre-training,68.1,61,100,True,32,0.0001,0.0001,42,NVIDIA L4,2,0,repository recorded split,results/classification/event_pretraining/event_pretraining_cifar10dvs.json,Repository learning-based classification result
cifar10dvs,classification,Learning-based,ergo,ERGO,67.6,50,100,True,32,0.0001,0.001,42,NVIDIA L4,12,0,repository recorded split,results/classification/ergo/ergo_cifar10dvs.json,Repository learning-based classification result
cifar10dvs,classification,Learning-based,est,EST,51.53,24,34,,32,0.0001,0.0001,42,NVIDIA A100-SXM4-40GB,0,1999,cifar10dvs_split_seed42,results/classification/est/est_e2e_cifar10dvs.json,Repository learning-based classification result
cifar10dvs,classification,Learning-based,evrepsl,EvRepSL,39.77,34,44,,32,0.0001,0.0001,42,NVIDIA A100-SXM4-40GB,0,1999,cifar10dvs_split_seed42,results/classification/evrepsl/evrepsl_cifar10dvs.json,Repository learning-based classification result
cifar10dvs,classification,Traditional,event_frame,Event Frame,44.95,8,18,True,32,0.0001,0.0001,42,NVIDIA GeForce RTX 4090,2,2000,random80 split,artifacts/traditional_classification/cifar10dvs/20260519_cifar10dvs_aligned_cls_v2_traditional/event_frame/result.json,Traditional representation + ResNet18 classifier
cifar10dvs,classification,Traditional,voxel_grid,Voxel Grid,43.95,8,18,True,32,0.0001,0.0001,42,NVIDIA GeForce RTX 4090,10,2000,random80 split,artifacts/traditional_classification/cifar10dvs/20260519_cifar10dvs_aligned_cls_v2_traditional/voxel_grid/result.json,Traditional representation + ResNet18 classifier
cifar10dvs,classification,Traditional,time_surface,Time Surface,43.3,5,15,True,32,0.0001,0.0001,42,NVIDIA GeForce RTX 4090,2,2000,random80 split,artifacts/traditional_classification/cifar10dvs/20260519_cifar10dvs_aligned_cls_v2_traditional/time_surface/result.json,Traditional representation + ResNet18 classifier
cifar10dvs,classification,Traditional,timestamp_image,Timestamp Image,41.65,6,16,True,32,0.0001,0.0001,42,NVIDIA GeForce RTX 4090,2,2000,random80 split,artifacts/traditional_classification/cifar10dvs/20260519_cifar10dvs_aligned_cls_v2_traditional/timestamp_image/result.json,Traditional representation + ResNet18 classifier
cifar10dvs,classification,Traditional,binary_event_image,Binary Event Image,39.85,11,21,True,32,0.0001,0.0001,42,NVIDIA GeForce RTX 4090,2,2000,random80 split,artifacts/traditional_classification/cifar10dvs/20260519_cifar10dvs_aligned_cls_v2_traditional/binary_event_image/result.json,Traditional representation + ResNet18 classifier
ncaltech101,classification,Learning-based,est,EST,70.44,87,100,,32,0.0001,0.0001,42,NVIDIA L4,18,1742,tonic_split_seed42,results/classification/est/est_ncaltech101.json,Repository learning-based classification result
