dataset,task,group,method,method_label,aee,outlier_percent,best_epoch,best_val_aee,epochs_completed,early_stopped,train_windows,eval_windows,channels,window_size,stride,early_stop_patience,early_stop_min_delta,early_stop_val_windows,early_stop_val_strategy,source_archive,source_json,source_curve
mvsec,optical_flow,Traditional,timestamp_image,Timestamp Image,2.791622968420216,36.6087026987651,1,2.64066251860559,11,True,16329,3583,2,200,200,10,0.001,1000,block-random,mvsec_traditional_e100_results_20260506_0301.tar.gz,mvsec_traditional_e100/results/timestamp_image.json,mvsec_traditional_e100/logs/curves/timestamp_image_curve.csv
mvsec,optical_flow,Learning-based,est,EST,2.8654466601363646,37.03915387953613,1,2.6380313799977304,11,True,16329,3583,18,200,200,10,0.001,1000,block-random,mvsec_original_protocol_e100_earlystop_results_20260501_0141.tar.gz,results/original_od12_if123_full6m_est_e100_block-random_earlystop.json,logs/curves/original_od12_if123_full6m_est_e100_block-random_curve.csv
mvsec,optical_flow,Traditional,voxel_grid,Voxel Grid,2.9001165659375077,37.647839142574334,13,2.5948588374257087,23,True,16329,3583,10,200,200,10,0.001,1000,block-random,mvsec_traditional_e100_results_20260506_0301.tar.gz,mvsec_traditional_e100/results/voxel_grid.json,mvsec_traditional_e100/logs/curves/voxel_grid_curve.csv
mvsec,optical_flow,Traditional,binary_event_image,Binary Event Image,2.9577272456516743,38.124871636440446,10,2.6110895208120346,20,True,16329,3583,2,200,200,10,0.001,1000,block-random,mvsec_traditional_e100_results_20260506_0301.tar.gz,mvsec_traditional_e100/results/binary_event_image.json,mvsec_traditional_e100/logs/curves/binary_event_image_curve.csv
mvsec,optical_flow,Learning-based,get,GET,2.9619312584649706,38.34222969069765,12,2.6006531483531,22,True,16329,3583,24,200,200,10,0.001,1000,block-random,mvsec_original_protocol_e100_earlystop_results_20260501_0141.tar.gz,results/original_od12_if123_full6m_get_e100_block-random_earlystop.json,logs/curves/original_od12_if123_full6m_get_e100_block-random_curve.csv
mvsec,optical_flow,Learning-based,event_pretraining,Event Pre-training,2.9653450954968523,38.19319083359776,10,2.6004124106168747,20,True,16329,3583,2,200,200,10,0.001,1000,block-random,mvsec_original_protocol_e100_earlystop_results_20260501_0141.tar.gz,results/original_od12_if123_full6m_event_pretraining_e100_block-random_earlystop.json,logs/curves/original_od12_if123_full6m_event_pretraining_e100_block-random_curve.csv
mvsec,optical_flow,Traditional,event_frame,Event Frame,2.9653732688474217,38.185070190280165,10,2.604220118224621,20,True,16329,3583,2,200,200,10,0.001,1000,block-random,mvsec_traditional_e100_results_20260506_0301.tar.gz,mvsec_traditional_e100/results/event_frame.json,mvsec_traditional_e100/logs/curves/event_frame_curve.csv
mvsec,optical_flow,Learning-based,ergo,ERGO,2.9713224397336444,38.30534351050307,10,2.6049202353358267,20,True,16329,3583,12,200,200,10,0.001,1000,block-random,mvsec_original_protocol_e100_earlystop_results_20260501_0141.tar.gz,results/original_od12_if123_full6m_ergo_e100_block-random_earlystop.json,logs/curves/original_od12_if123_full6m_ergo_e100_block-random_curve.csv
mvsec,optical_flow,Traditional,time_surface,Time Surface,2.9765631448713523,38.34349145407381,10,2.5994240275025366,20,True,16329,3583,2,200,200,10,0.001,1000,block-random,mvsec_traditional_e100_results_20260506_0301.tar.gz,mvsec_traditional_e100/results/time_surface.json,mvsec_traditional_e100/logs/curves/time_surface_curve.csv
mvsec,optical_flow,Learning-based,matrixlstm,MatrixLSTM,3.0138228042246142,38.97055806860295,12,2.607129846274853,22,True,16329,3583,4,200,200,10,0.001,1000,block-random,mvsec_original_protocol_e100_earlystop_results_20260501_0141.tar.gz,results/original_od12_if123_full6m_matrixlstm_e100_block-random_earlystop.json,logs/curves/original_od12_if123_full6m_matrixlstm_e100_block-random_curve.csv
mvsec,optical_flow,Learning-based,evrepsl,EvRepSL,3.018016725936616,39.06201311042573,5,2.624266781270504,15,True,16329,3583,3,200,200,10,0.001,1000,block-random,mvsec_original_protocol_e100_earlystop_results_20260501_0141.tar.gz,results/original_od12_if123_full6m_evrepsl_e100_block-random_earlystop.json,logs/curves/original_od12_if123_full6m_evrepsl_e100_block-random_curve.csv
