dataset,method,method_label,epoch,train_loss,train_accuracy,val_loss,val_accuracy,best_val_accuracy,no_improve
nmnist,event_frame,Event Frame,1,0.236869,0.925352,0.143255,0.954,0.954,
nmnist,event_frame,Event Frame,2,0.110779,0.96437,0.130813,0.953167,0.954,
nmnist,event_frame,Event Frame,3,0.080611,0.974333,0.097688,0.970833,0.970833,
nmnist,event_frame,Event Frame,4,0.062251,0.978759,0.086653,0.971667,0.971667,
nmnist,event_frame,Event Frame,5,0.050206,0.983315,0.088416,0.974,0.974,
nmnist,event_frame,Event Frame,6,0.04295,0.98563,0.091155,0.973167,0.974,
nmnist,event_frame,Event Frame,7,0.033809,0.988796,0.074676,0.9765,0.9765,
nmnist,event_frame,Event Frame,8,0.027984,0.990833,0.091744,0.975,0.9765,
nmnist,event_frame,Event Frame,9,0.027497,0.991204,0.08343,0.976,0.9765,
nmnist,event_frame,Event Frame,10,0.023808,0.992296,0.059246,0.9825,0.9825,
nmnist,event_frame,Event Frame,11,0.019651,0.99363,0.080173,0.976833,0.9825,
nmnist,event_frame,Event Frame,12,0.020941,0.993167,0.106326,0.970333,0.9825,
nmnist,event_frame,Event Frame,13,0.019108,0.993926,0.071853,0.98,0.9825,
nmnist,event_frame,Event Frame,14,0.01615,0.995074,0.099745,0.972667,0.9825,
nmnist,event_frame,Event Frame,15,0.016151,0.995148,0.092274,0.976167,0.9825,
nmnist,event_frame,Event Frame,16,0.014461,0.995648,0.07095,0.980167,0.9825,
nmnist,event_frame,Event Frame,17,0.015394,0.995241,0.087374,0.976167,0.9825,
nmnist,event_frame,Event Frame,18,0.012759,0.996241,0.06555,0.981167,0.9825,
nmnist,event_frame,Event Frame,19,0.012831,0.996222,0.06106,0.983167,0.983167,
nmnist,event_frame,Event Frame,20,0.011518,0.996037,0.084047,0.977,0.983167,
nmnist,event_frame,Event Frame,21,0.012528,0.996537,0.079905,0.9795,0.983167,
nmnist,event_frame,Event Frame,22,0.010957,0.996611,0.083666,0.978333,0.983167,
nmnist,event_frame,Event Frame,23,0.009763,0.997111,0.083279,0.98,0.983167,
nmnist,event_frame,Event Frame,24,0.009804,0.997259,0.083553,0.978167,0.983167,
nmnist,event_frame,Event Frame,25,0.008649,0.99737,0.119384,0.971167,0.983167,
nmnist,event_frame,Event Frame,26,0.010571,0.997,0.072827,0.979333,0.983167,
