epoch,train_loss,val_aee,best_val_aee,is_best,stale_epochs,early_stopped,group,method,method_label
1,1.6328233728295238,2.6608730071783064,2.6608730071783064,True,0,False,Traditional,binary_event_image,Binary Event Image
2,1.6006454472342688,2.6326526893377302,2.6326526893377302,True,0,False,Traditional,binary_event_image,Binary Event Image
3,1.589134416581952,2.6758605206012724,2.6326526893377302,False,1,False,Traditional,binary_event_image,Binary Event Image
4,1.584253031257727,2.634356138408184,2.6326526893377302,False,2,False,Traditional,binary_event_image,Binary Event Image
5,1.5808891264314369,2.6467696117162705,2.6326526893377302,False,3,False,Traditional,binary_event_image,Binary Event Image
6,1.5776864237610744,2.637145072937012,2.6326526893377302,False,4,False,Traditional,binary_event_image,Binary Event Image
7,1.5761167092772053,2.6414461008906365,2.6326526893377302,False,5,False,Traditional,binary_event_image,Binary Event Image
8,1.573165396002616,2.6576081340312956,2.6326526893377302,False,6,False,Traditional,binary_event_image,Binary Event Image
9,1.56933503291959,2.632479393005371,2.6326526893377302,False,7,False,Traditional,binary_event_image,Binary Event Image
10,1.5670485434040498,2.6110895208120346,2.6110895208120346,True,0,False,Traditional,binary_event_image,Binary Event Image
11,1.5662869777555066,2.6441725079417226,2.6110895208120346,False,1,False,Traditional,binary_event_image,Binary Event Image
12,1.5645773999690427,2.639604709327221,2.6110895208120346,False,2,False,Traditional,binary_event_image,Binary Event Image
13,1.5638063106500661,2.6444424733519556,2.6110895208120346,False,3,False,Traditional,binary_event_image,Binary Event Image
14,1.5628080476215007,2.626362008333206,2.6110895208120346,False,4,False,Traditional,binary_event_image,Binary Event Image
15,1.561998676996794,2.685326070010662,2.6110895208120346,False,5,False,Traditional,binary_event_image,Binary Event Image
16,1.560931433146414,2.6674080005288126,2.6110895208120346,False,6,False,Traditional,binary_event_image,Binary Event Image
17,1.559690630431564,2.659265304327011,2.6110895208120346,False,7,False,Traditional,binary_event_image,Binary Event Image
18,1.5579111357033617,2.6492396114468573,2.6110895208120346,False,8,False,Traditional,binary_event_image,Binary Event Image
19,1.5559085951901346,2.697240200281143,2.6110895208120346,False,9,False,Traditional,binary_event_image,Binary Event Image
20,1.5550312232787253,2.699609216928482,2.6110895208120346,False,10,True,Traditional,binary_event_image,Binary Event Image
1,1.6250019789092423,2.663164088904858,2.663164088904858,True,0,False,Traditional,event_frame,Event Frame
2,1.598393293534194,2.623200400233269,2.623200400233269,True,0,False,Traditional,event_frame,Event Frame
3,1.592229401192302,2.6595794523954392,2.623200400233269,False,1,False,Traditional,event_frame,Event Frame
4,1.5857731441627552,2.6297406298518182,2.623200400233269,False,2,False,Traditional,event_frame,Event Frame
5,1.5791011403843727,2.6481637672781946,2.623200400233269,False,3,False,Traditional,event_frame,Event Frame
6,1.5726759859504227,2.634224592268467,2.623200400233269,False,4,False,Traditional,event_frame,Event Frame
7,1.5669331289253017,2.6391209102869033,2.623200400233269,False,5,False,Traditional,event_frame,Event Frame
8,1.5636578016630902,2.6490058237910272,2.623200400233269,False,6,False,Traditional,event_frame,Event Frame
9,1.5622666735086201,2.625624360918999,2.623200400233269,False,7,False,Traditional,event_frame,Event Frame
10,1.5607424831086738,2.604220118224621,2.604220118224621,True,0,False,Traditional,event_frame,Event Frame
11,1.561814222555081,2.6370435051321985,2.604220118224621,False,1,False,Traditional,event_frame,Event Frame
12,1.5578173693126245,2.6368416765332223,2.604220118224621,False,2,False,Traditional,event_frame,Event Frame
13,1.5573013894863932,2.640556475639343,2.604220118224621,False,3,False,Traditional,event_frame,Event Frame
14,1.5561943471490125,2.620859427571297,2.604220118224621,False,4,False,Traditional,event_frame,Event Frame
15,1.558083380827739,2.6936433408260347,2.604220118224621,False,5,False,Traditional,event_frame,Event Frame
16,1.5544731422744194,2.6646455847620962,2.604220118224621,False,6,False,Traditional,event_frame,Event Frame
17,1.5534269023899234,2.6604009910225868,2.604220118224621,False,7,False,Traditional,event_frame,Event Frame
18,1.5528893641855621,2.647818778514862,2.604220118224621,False,8,False,Traditional,event_frame,Event Frame
19,1.552094143853887,2.7002801468372346,2.604220118224621,False,9,False,Traditional,event_frame,Event Frame
20,1.5521124415674428,2.7073068158626556,2.604220118224621,False,10,True,Traditional,event_frame,Event Frame
