method,aee,outlier_percent,non_outlier_percent,epochs_completed,best_epoch,best_val_aee,early_stopped,train_windows,eval_windows,valid_count,window_alignment,file
ergo,2.145561224899664,23.80291993533036,76.19708006466963,67,57,1.8119640290737151,True,149,871,78355160,timestamp,results_float64_cached_20260516/original_od12_if123_full6m_ergo_e100_block-random_earlystop.json
est,2.0428562698079578,23.357402371458356,76.64259762854164,75,65,1.7453340113162994,True,149,871,78355160,timestamp,results_float64_cached_20260516/original_od12_if123_full6m_est_e100_block-random_earlystop.json
event_pretraining,2.5401478751244966,30.672413916326636,69.32758608367337,40,30,1.8606752753257751,True,149,871,78355160,timestamp,results_float64_cached_20260516/original_od12_if123_full6m_event_pretraining_e100_block-random_earlystop.json
evrepsl,2.381711952721895,27.898661683544493,72.10133831645551,91,81,1.771200954914093,True,149,871,78355160,timestamp,results_float64_cached_20260516/original_od12_if123_full6m_evrepsl_e100_block-random_earlystop.json
get,2.0451929695844377,23.299550406125118,76.70044959387488,43,33,1.844813245534897,True,149,871,78355160,timestamp,results_float64_cached_20260516/original_od12_if123_full6m_get_e100_block-random_earlystop.json
matrixlstm,2.18565403580255,25.195438309359606,74.8045616906404,95,85,1.7705821633338927,True,149,871,78355160,timestamp,results_float64_cached_20260516/original_od12_if123_full6m_matrixlstm_e100_block-random_earlystop.json
event_frame,2.20850480639565,25.812200498346247,74.18779950165376,48,38,1.8975054681301118,True,149,871,78355160,timestamp,results_float64_cached_20260516/original_od12_if123_full6m_event_frame_e100_block-random_earlystop.json
binary_event_image,2.1625269670574045,25.269286668548716,74.73071333145128,64,54,1.8693244636058808,True,149,871,78355160,timestamp,results_float64_cached_20260516/original_od12_if123_full6m_binary_event_image_e100_block-random_earlystop.json
timestamp_image,2.1122119027252997,24.829615560736517,75.17038443926349,34,24,2.1892493724823,True,149,871,78355160,timestamp,results_float64_cached_20260516/original_od12_if123_full6m_timestamp_image_e100_block-random_earlystop.json
time_surface,2.2628490639129817,26.566550307599385,73.43344969240061,46,36,1.9055821418762207,True,149,871,78355160,timestamp,results_float64_cached_20260516/original_od12_if123_full6m_time_surface_e100_block-random_earlystop.json
voxel_grid,2.0758931257694653,23.85002723496451,76.14997276503549,87,77,1.7799035966396333,True,149,871,78355160,timestamp,results_float64_cached_20260516/original_od12_if123_full6m_voxel_grid_e100_block-random_earlystop.json
